provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2022;9;1;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2022;9;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2022;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2022;9;1;7;V;8;V;8;V;7;V;6;V;6;V;6;V;6;V;6;V;7;V;5;V;4;V;3;V;3;V;4;V;4;V;3;V;3;V;4;V;6;V;7;V;5;V;5;V;5;V
28;102;1;10;28102001_10_49;2022;9;1;11;V;10;V;12;V;13;V;11;V;13;V;13;V;12;V;11;V;13;V;10;V;13;V;13;V;11;V;12;V;13;V;10;V;10;V;14;V;16;V;12;V;12;V;9;V;10;V
28;102;1;12;28102001_12_8;2022;9;1;9;V;10;V;10;V;9;V;8;V;8;V;8;V;8;V;8;V;9;V;7;V;6;V;5;V;5;V;6;V;6;V;5;V;5;V;6;V;8;V;9;V;7;V;7;V;7;V
28;102;1;14;28102001_14_6;2022;9;1;100;V;96;V;92;V;85;V;84;V;79;V;78;V;78;V;82;V;102;V;114;V;116;V;115;V;112;V;117;V;116;V;114;V;112;V;103;V;91;V;92;V;86;V;91;V;88;V
28;120;1;7;28120001_7_8;2022;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2022;9;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V
28;120;1;9;28120001_9_49;2022;9;1;2;V;1;V;3;V;3;V;4;V;4;V;5;V;4;V;5;V;5;V;6;V;6;V;9;V;9;V;8;V;9;V;7;V;7;V;7;V;5;V;4;V;3;V;4;V;3;V
28;120;1;10;28120001_10_49;2022;9;1;7;V;8;V;6;V;6;V;5;V;7;V;6;V;6;V;9;V;8;V;8;V;7;V;8;V;9;V;10;V;9;V;9;V;9;V;10;V;8;V;7;V;6;V;6;V;6;V
28;120;1;12;28120001_12_8;2022;9;1;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;5;V;5;V
