,dia,maximo_valor_dia,municipio
0,1,121.0,"('PUERTO DE COTOS',)"
1,1,122.0,"('PUERTO DE COTOS',)"
2,1,116.0,"('PUERTO DE COTOS',)"
3,1,112.0,"('PUERTO DE COTOS',)"
4,1,111.0,"('PUERTO DE COTOS',)"
5,1,111.0,"('PUERTO DE COTOS',)"
6,1,109.0,"('PUERTO DE COTOS',)"
7,1,117.0,"('PUERTO DE COTOS',)"
8,1,124.0,"('PUERTO DE COTOS',)"
9,1,145.0,"('VILLA DEL PRADO',)"
10,1,134.0,"('VILLA DEL PRADO',)"
11,1,133.0,"('VILLA DEL PRADO',)"
12,1,135.0,"('GUADALIX DE LA SIERRA',)"
13,1,139.0,"('EL ATAZAR',)"
14,1,156.0,"('EL ATAZAR',)"
15,22,149.0,"('ALCALÁ DE HENARES',)"
16,21,140.0,"('GUADALIX DE LA SIERRA',)"
17,1,130.0,"('VILLA DEL PRADO',)"
18,1,131.0,"('VILLA DEL PRADO',)"
19,1,130.0,"('VILLA DEL PRADO',)"
20,1,126.0,"('VILLA DEL PRADO',)"
21,3,123.0,"('VILLA DEL PRADO',)"
22,3,121.0,"('VILLA DEL PRADO',)"
23,2,115.0,"('VILLA DEL PRADO',)"
